date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:55	7747/7747	---M--	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2019:58:05%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture14/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture14/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:55	3448/3448	---M--	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2016:56:51%20GMT	http://horstmann.com/sjsu/spring2018/cs152/vm.html	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/vm.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:55	17671/17671	---M--	200	added ('OK')	application/pdf	etag:%224507-4d165acb09b80%22	http://www.sjsu.edu/senate/docs/F69-24.pdf	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/www.sjsu.edu/senate/docs/F69-24.pdf	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:56	22185/22185	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Jul%202017%2022:13:00%20GMT	http://www.sjsu.edu/registrar/tutorials/grade_values.html	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/www.sjsu.edu/registrar/tutorials/grade_values.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:56	11963/11963	---M--	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2019:07:23%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture15/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture15/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:56	12589/12589	---M--	200	added ('OK')	text/html	date:Sun,%2011%20Mar%202018%2021:02:30%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture16/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture16/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:57	969/969	---M-Z	200	added ('OK')	text/plain	etag:%22b9c-56733fb7fc100-gzip%22	http://www.w3.org/robots.txt		(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:57	6125/6125	---M--	200	added ('OK')	text/html	date:Sun,%2011%20Mar%202018%2021:02:30%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture17/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture17/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:57	42987/42987	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2017:38:13%20GMT	http://www.sjsu.edu/registrar/students/grades-grades_changes/grade_symbols_and_values/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/www.sjsu.edu/registrar/students/grades-grades_changes/grade_symbols_and_values/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:58	3059/3059	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Mar%202018%2013:07:06%20GMT	http://www.w3.org/StyleSheets/TR/base	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/www.w3.org/StyleSheets/TR/base.css	(from http://www.w3.org/1999/xhtml/)
